VeriSign Class 3 Code Signing 2004 CA	25be0489e6a6ff03f4121652bfefd0a0	Trend Media Corporation Limited	2006-09-08	2014-07-01	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	26296b9627c413517233a4c35ad61660	Synhe Technology  Co., Ltd	2013-08-19	2013-08-19	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	267bde888bc150151100f254d8caed67	Xuchang Hongguang Technology Co.,Ltd.	2013-10-10	2014-05-09	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	2c16be9a7ce2a23ab7a4b4eb7da3400c	Prince city music bar	2013-06-13	2013-10-13	Round 2 deployment of SymVT revoked signers
COMODO Code Signing CA 2	2c75ba2312edbd2e6a5a5aff7748f10c	Bargaining active	2014-08-05	2015-02-16	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	2edfb9fdcfa00ccb5ab009ee3adb97b9	QTI International Inc	2014-07-24	2014-12-02	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	301f24da9c3d7227b8e772df47f31e94	The Nielsen Company	2014-05-26	2014-07-17	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	30d3fe26591d8eac8c30667ac4999bd7	ESTsoft Corp.	2011-10-13	2011-12-01	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	391e363ec82ad7613db478c178180e8b	Binzhou XinPin Technology Co.,Ltd.	2013-07-08	2014-05-30	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2009-2 CA	3c9cb87a37fb70d2c1122989b4170707	Word & Brown	2011-07-27	2011-09-06	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA	3eaaf4	INBEE.COM CO.LTD	2005-04-06	2005-09-29	Round 2 deployment of SymVT revoked signers
WoSign Code Signing Authority	42187789e6ebe25a96109d16bd73fc3e	Starsonline Media Beijing Co.,Ltd.	2011-08-01	2011-12-21	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2004 CA	42c32fac2207535e377400d1d69297af	Energizer	2007-07-31	2014-06-26	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	433af5c86a85321d07dfa9a32c6f00e3	Asurio, Inc.	2013-06-03	2013-06-03	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	452156c3b3fb0176365bdb5b7715bc4c	CallTogether, Inc.	2012-11-06	2014-12-02	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	4531954f6265304055f66ce4f624f95b	IDAutomation.com, Inc.	2013-10-11	2013-11-26	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	456e967a815aa5cbb99fb86aca8f7f69	A'digm, Inc.	2013-12-09	2015-02-05	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	4672a0b58ae0d0c4d8ccbc3b2e38c185	Beijing JoinHope Image Technology Ltd	2013-07-23	2013-10-16	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2009-2 CA	476f49f4c959f656e9aa1eb87fc529bb	JMicron Technology Corp.	2010-07-20	2010-07-20	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2004 CA	4c58656564339cccb2b88c5929c94e6b	National Agricultural Cooperative Federation	2012-02-01	2012-02-01	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	4e1aa28fa46d6088d27178f4a59f57be	4NB Corp.	2013-05-10	2014-11-25	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	4e39fe16e547ec9db092fd1d9615899d	Matrix 42 AG	2012-09-13	2014-07-17	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	4e3aaa84affeb6d63ef6698c14a14ee9	Binzhou GangSheng Technology Co.,Ltd.	2013-12-19	2014-05-29	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA	4eeb080555f1abf709bba9cae32f13cd	MGAME Corp.	2009-06-19	2013-03-22	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	4fa523749f58ed24f0c2cab7a1dc811b	Changsha Qiansheng Garden Landscape Co.,Ltd	2014-05-07	2015-02-04	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	4fe68d48634893d18de040d8f1c289d2	Xinghua Yile Network Tech Co.,Ltd.	2013-06-13	2013-06-13	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	523cc71ab861230979aac21cf4f863a4	Nexon America Inc.	2011-04-22	2011-08-06	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2004 CA	5333d3079d8afda715703775e1389991	Trambambon LLC	2009-08-05	2009-08-05	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	535f319a70fa085c229711ae9537733d	POSKOLIO HOLDINGS LIMITED	2013-11-30	2013-12-11	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	552b41be12d940437df45d488738cc51	Shanghai easy kradar Information Consulting Co. Ltd.	2015-06-03	2015-07-07	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	55efe24b9674855baf16e67716479c71	S2BVISIO BELGIQUE SA	2013-09-04	2013-09-04	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	58015acd501fc9c344264eace2ce5730	Nanjing Ranyi Technology Co., Ltd.	2012-11-07	2015-02-10	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	5aafd7d083de25436c8ac75524cad93c	Changsha Hongfu Environmental Protection Technology Co., Ltd.	2011-12-02	2011-12-02	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	5b29c17afde91d81fe7f37ccc0826bb5	Prestigio Europe, spol. s r.o.	2013-12-09	2013-12-18	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	5b78fac87f9e29b87b2db4784e41397a	Jiangyin Fengwan Technology Co.,Ltd.	2014-01-02	2014-01-02	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	5b845f7e7c6e68046bf434895de48651	SHENZHEN HONGQI ELECTRONICS CO., LTD	2013-10-14	2014-05-27	Round 2 deployment of SymVT revoked signers
thawte SHA256 Code Signing CA	5bca0e2d5e29502f37b65574cc1360d3	善君 韦	2015-04-23	2015-04-23	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	5bfe40aa2f4d1d51d8ddf6dded63a33e	Yalei Cui	2013-07-10	2013-07-26	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	5c433991ed8187eea0a3003a1e4861e8	FirsTech Inc.	2013-10-23	2013-10-31	Round 2 deployment of SymVT revoked signers
